Index,Original Name,New Name,Service Type,Section,Location,Alt Text,Current Size (KB),Priority
1,"6385881d75a0bd6211745bec_BlueLawns_Logo-01-p-500.png","blue-lawns-ocean-view-lawn-care-service-1.webp","lawn-care","service","ocean-view","Professional lawn care and maintenance services by Blue Lawns in Ocean View, Cape May County",14.7,MEDIUM
2,"6385881d75a0bd6211745bec_BlueLawns_Logo-01.png","blue-lawns-cape-may-lawn-care-service-2.webp","lawn-care","service","cape-may","Professional lawn care and maintenance services by Blue Lawns in Cape May, Cape May County",17.5,MEDIUM
3,"6385eb0acfc9c46d500ef095_IMG_2082-p-1080.jpg","blue-lawns-avalon-generic-service-3.webp","generic","service","avalon","Blue Lawns outdoor property care and landscaping services in Avalon, Cape May County",74.0,MEDIUM
4,"6385eb0acfc9c46d500ef095_IMG_2082-p-500.jpg","blue-lawns-stone-harbor-generic-service-4.webp","generic","service","stone-harbor","Blue Lawns outdoor property care and landscaping services in Stone Harbor, Cape May County",24.4,MEDIUM
5,"6385eb0acfc9c46d500ef095_IMG_2082-p-800.jpg","blue-lawns-sea-isle-city-generic-service-5.webp","generic","service","sea-isle-city","Blue Lawns outdoor property care and landscaping services in Sea Isle City, Cape May County",47.7,MEDIUM
6,"6385eb0acfc9c46d500ef095_IMG_2082.jpg","blue-lawns-wildwood-generic-service-6.webp","generic","service","wildwood","Blue Lawns outdoor property care and landscaping services in Wildwood, Cape May County",78.4,MEDIUM
7,"6385eb0afaed180dcd68e55d_IMG_2081-p-1080.jpg","blue-lawns-wildwood-crest-generic-service-7.webp","generic","service","wildwood-crest","Blue Lawns outdoor property care and landscaping services in Wildwood Crest, Cape May County",105.5,MEDIUM
8,"6385eb0afaed180dcd68e55d_IMG_2081-p-500.jpg","blue-lawns-north-wildwood-generic-service-8.webp","generic","service","north-wildwood","Blue Lawns outdoor property care and landscaping services in North Wildwood, Cape May County",31.4,MEDIUM
9,"6385eb0afaed180dcd68e55d_IMG_2081-p-800.jpg","blue-lawns-cape-may-court-house-generic-service-9.webp","generic","service","cape-may-court-house","Blue Lawns outdoor property care and landscaping services in Cape May Court House, Cape May County",65.6,MEDIUM
10,"6385eb0afaed180dcd68e55d_IMG_2081.jpg","blue-lawns-rio-grande-generic-service-10.webp","generic","service","rio-grande","Blue Lawns outdoor property care and landscaping services in Rio Grande, Cape May County",124.4,MEDIUM
11,"6385eb0b60f0441889eda803_IMG_2079-p-1080.jpg","blue-lawns-ocean-view-generic-service-11.webp","generic","service","ocean-view","Blue Lawns outdoor property care and landscaping services in Ocean View, Cape May County",117.2,MEDIUM
12,"6385eb0b60f0441889eda803_IMG_2079-p-500.jpg","blue-lawns-cape-may-generic-service-12.webp","generic","service","cape-may","Blue Lawns outdoor property care and landscaping services in Cape May, Cape May County",36.7,MEDIUM
13,"6385eb0b60f0441889eda803_IMG_2079-p-800.jpg","blue-lawns-avalon-generic-service-13.webp","generic","service","avalon","Blue Lawns outdoor property care and landscaping services in Avalon, Cape May County",74.7,MEDIUM
14,"6385eb0b60f0441889eda803_IMG_2079.jpg","blue-lawns-stone-harbor-generic-service-14.webp","generic","service","stone-harbor","Blue Lawns outdoor property care and landscaping services in Stone Harbor, Cape May County",135.3,MEDIUM
15,"6385eb0b60f044f745eda804_IMG_2078-p-1080.jpg","blue-lawns-sea-isle-city-generic-service-15.webp","generic","service","sea-isle-city","Blue Lawns outdoor property care and landscaping services in Sea Isle City, Cape May County",187.8,MEDIUM
16,"6385eb0b60f044f745eda804_IMG_2078-p-500.jpg","blue-lawns-wildwood-generic-service-16.webp","generic","service","wildwood","Blue Lawns outdoor property care and landscaping services in Wildwood, Cape May County",47.7,MEDIUM
17,"6385eb0b60f044f745eda804_IMG_2078-p-800.jpg","blue-lawns-wildwood-crest-generic-service-17.webp","generic","service","wildwood-crest","Blue Lawns outdoor property care and landscaping services in Wildwood Crest, Cape May County",109.9,MEDIUM
18,"6385eb0b60f044f745eda804_IMG_2078.jpg","blue-lawns-north-wildwood-generic-service-18.webp","generic","service","north-wildwood","Blue Lawns outdoor property care and landscaping services in North Wildwood, Cape May County",235.1,MEDIUM
19,"6385eb0baa1d026092041bac_IMG_2080-p-1080.jpg","blue-lawns-cape-may-court-house-generic-service-19.webp","generic","service","cape-may-court-house","Blue Lawns outdoor property care and landscaping services in Cape May Court House, Cape May County",104.2,MEDIUM
20,"6385eb0baa1d026092041bac_IMG_2080-p-500.jpg","blue-lawns-rio-grande-generic-service-20.webp","generic","service","rio-grande","Blue Lawns outdoor property care and landscaping services in Rio Grande, Cape May County",33.5,MEDIUM
21,"6385eb0baa1d026092041bac_IMG_2080-p-800.jpg","blue-lawns-ocean-view-generic-service-21.webp","generic","service","ocean-view","Blue Lawns outdoor property care and landscaping services in Ocean View, Cape May County",67.1,MEDIUM
22,"6385eb0baa1d026092041bac_IMG_2080.jpg","blue-lawns-cape-may-generic-service-22.webp","generic","service","cape-may","Blue Lawns outdoor property care and landscaping services in Cape May, Cape May County",116.4,MEDIUM
23,"6385eb0bcdea476fbbf727a6_IMG_2085-p-1080.jpg","blue-lawns-avalon-generic-service-23.webp","generic","service","avalon","Blue Lawns outdoor property care and landscaping services in Avalon, Cape May County",136.6,MEDIUM
24,"6385eb0bcdea476fbbf727a6_IMG_2085-p-500.jpg","blue-lawns-stone-harbor-generic-service-24.webp","generic","service","stone-harbor","Blue Lawns outdoor property care and landscaping services in Stone Harbor, Cape May County",47.2,MEDIUM
25,"6385eb0bcdea476fbbf727a6_IMG_2085-p-800.jpg","blue-lawns-sea-isle-city-generic-service-25.webp","generic","service","sea-isle-city","Blue Lawns outdoor property care and landscaping services in Sea Isle City, Cape May County",89.6,MEDIUM
26,"6385eb0bcdea476fbbf727a6_IMG_2085.jpg","blue-lawns-wildwood-generic-service-26.webp","generic","service","wildwood","Blue Lawns outdoor property care and landscaping services in Wildwood, Cape May County",143.6,MEDIUM
27,"6385eb0bd1cb2c105b079b00_IMG_2083-p-1080.jpg","blue-lawns-wildwood-crest-generic-service-27.webp","generic","service","wildwood-crest","Blue Lawns outdoor property care and landscaping services in Wildwood Crest, Cape May County",99.6,MEDIUM
28,"6385eb0bd1cb2c105b079b00_IMG_2083-p-500.jpg","blue-lawns-north-wildwood-generic-service-28.webp","generic","service","north-wildwood","Blue Lawns outdoor property care and landscaping services in North Wildwood, Cape May County",31.5,MEDIUM
29,"6385eb0bd1cb2c105b079b00_IMG_2083-p-800.jpg","blue-lawns-cape-may-court-house-generic-service-29.webp","generic","service","cape-may-court-house","Blue Lawns outdoor property care and landscaping services in Cape May Court House, Cape May County",63.5,MEDIUM
30,"6385eb0bd1cb2c105b079b00_IMG_2083.jpg","blue-lawns-rio-grande-generic-service-30.webp","generic","service","rio-grande","Blue Lawns outdoor property care and landscaping services in Rio Grande, Cape May County",113.2,MEDIUM
31,"6385ec937ae48d6dfe1b47ea_favicon.png","blue-lawns-ocean-view-generic-service-31.webp","generic","service","ocean-view","Blue Lawns outdoor property care and landscaping services in Ocean View, Cape May County",0.9,MEDIUM
